Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,ccrz__CompanyName__c,ccrz__CompanyType__c,ccrz__DataId__c,ccrz__IsPortalUser__c,ccrz__SelfRegistered__c,Product_Areas__c
0018dbeb-02a5-4413-a3c2-343371343905,9fde7171-31cf-4c0e-848c-b95d7826f08b,Ebeneser,Dorree,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,(03) 8973 7103,(03) 8973 7103,0429 358 528,#N/A,#N/A,(03) 8973 7103,#N/A,jmanningcongagdo+7@gmail.com,"Senior Director, Services",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0023ebf1-1a65-452a-bec1-9a9e3de80e18,3ccab815-d7e7-41f3-b4fd-2330a1d72ef4,Paten,Gipsy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,011 49 69 3576 6843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+479@gmail.com,"Vice President, IT",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
002a04c3-c8b6-43d2-9584-6f2cbe318a68,1b4bfded-f98a-4ca5-a159-8c083e159842,Keene,Kerianne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(512) 931-5152,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+140@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,Dr. Sue Desmond-Hellmann leads the foundation's efforts to promote equity for all people around the world.,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0037c4d1-c5f0-4bfa-a65e-d1bac8b35f6c,f782f506-826c-47d4-95d2-69f4e289526c,Sebastien,Edith,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,(03) 6237 6024,(03) 6237 6024,0416 660 867,#N/A,#N/A,(03) 6237 6024,#N/A,jmanningcongagdo+97@gmail.com,"VP, Supply Chain",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
009fbf81-e1ac-43e4-a229-61abc9902857,7b95ea41-2644-477d-8f28-0155cf3cb67f,Gaspar,Lorain,#N/A,390 Interlocken Crescent #500,Broomfield,CO,80021,USA,#N/A,#N/A,#N/A,555 Corporate Ave.,San Francisco,CA,94105,USA,#N/A,#N/A,#N/A,(974) 230-5869,(303) 234-5678,(303) 123-4567,(555) 666-8888,#N/A,123 098 7654,#N/A,jmanningcongagdo+267@gmail.com,SVP and CFO,Manufacturing - Floor,Jenny Smith,#N/A,1972-06-25,"Mr. Griffith is senior vice president and chief financial officer of Marathon Petroleum Corporation. He is a member of the boards of directors of MPLX GP LLC and the Marathon Center for the Performing Arts, where he serves on the finance committee. Mr. Griffith is chair of the investment committee for the Boy Scouts of America Black Swamp Council and treasurer of Berry Boy Scouts Inc.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
00dcc4e3-5ed6-49e7-9c4d-dc23e5033df1,1269b73b-8173-461c-be8d-4001e7a56f13,Heindrick,Roxana,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,32 Railway Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4043,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+807@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
00fc03f0-62d9-43a2-b0ad-d243afc2efbd,02790e5c-867a-4d60-b207-f5f0dfab9d1d,Mortimer,Arlana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(633) 209-5550,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+184@gmail.com,EVP Retail Operations,#N/A,#N/A,#N/A,#N/A,"Susan began her career in Albertsons Denver Division while still in high school and worked her way up in the ranks proving her ability to lead, to execute and to bring teams together in one assignment after another in her 30+ years in the retail grocery business. Since March of 2015, Susan has led the Denver Division team after having successfully led our Boise-based Intermountain Division for the two prior years.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
011d3a44-f074-488d-8708-198928242992,185fc0c9-6005-4fb7-8a86-3a035173bad4,Morgun,Andreana,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3922,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+439@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0128d8fd-4ca8-4225-8163-24ef8588ec86,f782f506-826c-47d4-95d2-69f4e289526c,Benito,Jeana,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,(03) 7790 6654,(03) 7790 6654,0421 119 254,#N/A,#N/A,(03) 7790 6654,#N/A,jmanningcongagdo+692@gmail.com,VP Operations,Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
040d89bc-61d1-4045-bb44-228516552da4,b23afcaa-b2e3-486e-bdba-90304e8585d3,Louis,Jocelyn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(553) 589-9669,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+331@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,"John Mulligan is executive vice president and chief operating officer for Target and a member of its executive leadership team. His responsibilities include stores, Target’s global supply chain, merchandising operations, properties and flight services.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0433cdb3-bac7-4152-8985-232b528fb069,b7fa5935-163e-499d-b057-17e040a63392,Phineas,Priscella,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(276)956-8750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+359@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
043fa872-a840-4d81-89dc-8d50a0f609e9,1e4b3100-25f6-4608-8783-44cba06ac0ca,Alex,Melva,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(276)956-8748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+209@gmail.com,CTO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0447fac7-94ca-401a-9848-184c10e4651e,acdb972f-0fea-4a9d-85d0-1940db7fa5f3,Hagan,Elbertine,#N/A,54 McLaren Street,North Sydney,NSW,2060,Australia,#N/A,#N/A,#N/A,54 McLaren Street,North Sydney,NSW,2060,Australia,#N/A,#N/A,#N/A,(02) 6052 6150,(02) 6052 6150,0429 888 809,#N/A,#N/A,(02) 6052 6150,#N/A,jmanningcongagdo+838@gmail.com,"VP, Consulting",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
04785b82-5ff3-4f5d-b45d-ab442ee3c662,39fad5ac-005c-4b38-b741-e61c350cbc0c,Kellby,Natalya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(243) 475-8098,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+185@gmail.com,EVP & General Counsel,#N/A,#N/A,#N/A,#N/A,"Nicole Jones is Executive Vice President and General Counsel for Cigna, reporting to Chief Executive Officer David Cordani. Jones rejoined Cigna after serving as Senior Vice President and General Counsel for Lincoln Financial. From 2006 to 2010, Jones was Cigna's deputy general counsel, corporate secretary and chief counsel of domestic health service, securities and investment law.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
051a41f8-772b-430c-b2b8-f1780d2396fd,70205bf9-736c-49c5-ae32-a967f24aecd9,Alister,Noell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+33 0 1 42 14 20 00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+492@gmail.com,CIO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
053b6484-cf43-49ae-9494-1705bdce4f87,72cca046-1b05-41ef-b852-1bba002295e4,Ase,Christen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+41 22 343 80 14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+564@gmail.com,"Vice President, IT",#N/A,#N/A,#N/A,1975-08-27,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
057cdfef-cb22-40a7-b703-52e9fc15d8de,185fc0c9-6005-4fb7-8a86-3a035173bad4,Lambert,Hester,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,(03) 6967 7793,(03) 6967 7793,0427 231 427,#N/A,#N/A,(03) 6967 7793,#N/A,jmanningcongagdo+830@gmail.com,CFO,Finance,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
05f39a88-68b3-4880-90d7-99460b5cb9a6,4ef1d2af-8174-4ce4-b114-f13d2888ccdd,Filberto,Devon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(239) 129-6060,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+538@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,"Brian Moynihan leads a team of more than 200,000 employees dedicated to making financial lives better for people, companies of every size, and institutional investors across the United States and around the world.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
